id,label,file name,thumbnail,space,filter,type
FRM_TDF_2DRW1TRAY HANGING LR#,"EURO DOOR LR, TRAY, 2 DRAWER, HANGING , SHELF",FRM_FLTW_0086.skp,FRM_FLTW_0086.jpg,wardrobe,tall,flat
FRM_TDF_2DRW1TRAY HANGING,"EURO DOOR RH, TRAY, 2 DRAWER, HANGING , SHELF",FRM_FLTW_0087.skp,FRM_FLTW_0087.jpg,wardrobe,tall,flat
FRM_TWARDROBE HANGING DOUBLE POCKET 3 DRAWER,"EURO POCKET DOUBLE, 3 DRAWER, HANGING SHELF",FRM_FLTW_0088.skp,FRM_FLTW_0088.jpg,wardrobe,tall,flat
TDF_WASHER_UNDER POCKET,"EURO POCKET DOUBLE, WASHER, DRAWER 3 SHELVES",FRM_FLTX_0089.skp,FRM_FLTX_0089.jpg,utility,tall,flat
TDF_WASHER_UNDER POCKET LEFT,"EURO POCKET LH, WASHER, DRAWER 3 SHELVES",FRM_FLTX_0090.skp,FRM_FLTX_0090.jpg,utility,tall,flat
TDF_WASHER_UNDER POCKETRIGHT,"EURO POCKET RH, WASHER, DRAWER 3 SHELVES",FRM_FLTX_0091.skp,FRM_FLTX_0091.jpg,utility,tall,flat
FRM_4DF_OPN,"4 DRAWERS, INSIDE CABINET",FRM_FLT_0092.skp,FRM_FLT_0092.jpg,all,base,flat
FRM_4DF_FLT,"4 DRAWERS, FLT",FRM_FLT_0093.skp,FRM_FLT_0093.jpg,all,base,flat
FRAME PLINTH,FRAME PLINTH,FRM_PLI_0001.skp,FRM_PLI_0001.jpg,all,add-in,
INF_1DF_1BIN#0,"INFRAME 1 DRAWER, BIN ",FRM_INF_0001.skp,FRM_INF_0001.jpg,kitchen,base,in-frame
INF_1DF_1DRW#0,INFRAME 1 DRAWER,FRM_INF_0002.skp,FRM_INF_0002.jpg,kitchen,base,in-frame
INF_1DF_2DRW#0,"INFRAME 1 DRAWER FRONT, 2 DRAWERS",FRM_INF_0003.skp,FRM_INF_0003.jpg,kitchen,base,in-frame
INF_1DF_2DRWLH #0,"INFRAME 1 DOOR FRONT LH , 2 DRAWERS",FRM_INF_0004.skp,FRM_INF_0004.jpg,kitchen,base,in-frame
INF_1DF_2DRWRH#0,"INFRAME 1 DRAWER FRONT, 2 DRAWERS",FRM_INF_0005.skp,FRM_INF_0005.jpg,kitchen,base,in-frame
INF_1DF_3DRW#0,"INFRAME 1 DRAWER FRONT, 3 DRAWERS",FRM_INF_0006.skp,FRM_INF_0006.jpg,kitchen,base,in-frame
INF_1DF_3DRWLH #0,"INFRAME 1 DOOR FRONT LH , 3 DRAWERS",FRM_INF_0007.skp,FRM_INF_0007.jpg,kitchen,base,in-frame
INF_1DF_3DRWLR#0,"INFRAME 1 DOOR FRONT LR, 3 DRAWERS ",FRM_INF_0008.skp,FRM_INF_0008.jpg,kitchen,base,in-frame
INF_1DF_3DRWRH#0,"INFRAME 1 DOOR FRONT RH, 3 DRAWERS ",FRM_INF_0009.skp,FRM_INF_0009.jpg,kitchen,base,in-frame
INF_1SHELF_LH#0,"INFRAME DOOR LH, 1 SHELF ",FRM_INF_0010.skp,FRM_INF_0010.jpg,kitchen,base,in-frame
INF_1SHELF_LR#0,"INFRAME DOOR LR, 1 SHELF ",FRM_INF_0011.skp,FRM_INF_0011.jpg,kitchen,base,in-frame
INF_1SHELF_OPEN#0,INFRAME 1 SHELF  ,FRM_INF_0012.skp,FRM_INF_0012.jpg,kitchen,base,in-frame
INF_1SHELF_RH#0,"INFRAME DOOR RH, 1 SHELF ",FRM_INF_0013.skp,FRM_INF_0013.jpg,kitchen,base,in-frame
INF_2DF_2DRW#0,"INFRAME 2 DRAWER FRONT, 2 DRAWERS",FRM_INF_0014.skp,FRM_INF_0014.jpg,kitchen,base,in-frame
